AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),
AG.LND.AGRI.ZS,Agricultural land (% of land area),
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",
NV.AGR.TOTL.ZS,"Agriculture, value added (% of GDP)",
EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2005 US$),
AG.LND.ARBL.HA.PC,Arable land (hectares per person),
AG.LND.ARBL.ZS,Arable land (% of land area),
AG.YLD.CREL.KG,Cereal yield (kg per hectare),
AG.PRD.CROP.XD,Crop production index (2004-2006 = 100),
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),
AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100),
SP.RUR.TOTL.ZS,Percentage of Population in Rural Areas (in % of Total Population),
AG.LND.CROP.ZS,Permanent cropland (% of land area),
SP.RUR.TOTL,Rural population,
SI.POV.RUGP,Rural poverty gap at national poverty lines (%),
SI.POV.RUHC,Rural poverty headcount ratio at national poverty lines (% of rural population),
